festival_ID	festival_day	role	required_personnel
1	1	technical	11
1	1	security	7
1	1	support	11
1	2	technical	43
1	2	security	31
1	2	support	38
1	3	technical	31
1	3	security	29
1	3	support	27
2	1	technical	27
2	1	security	34
2	1	support	35
2	2	technical	21
2	2	security	35
2	2	support	27
2	3	technical	39
2	3	security	40
2	3	support	46
3	1	technical	19
3	1	security	25
3	1	support	17
3	2	technical	31
3	2	security	28
3	2	support	23
3	3	technical	5
3	3	security	11
3	3	support	8
3	4	technical	29
3	4	security	26
3	4	support	27
3	5	technical	11
3	5	security	4
3	5	support	5
4	1	technical	48
4	1	security	34
4	1	support	45
4	2	technical	21
4	2	security	12
4	2	support	17
4	3	technical	37
4	3	security	38
4	3	support	46
4	4	technical	25
4	4	security	23
4	4	support	20
4	5	technical	37
4	5	security	20
4	5	support	34
5	1	technical	11
5	1	security	10
5	1	support	6
5	2	technical	29
5	2	security	30
5	2	support	33
6	1	technical	8
6	1	security	14
6	1	support	14
6	2	technical	25
6	2	security	24
6	2	support	25
7	1	technical	35
7	1	security	32
7	1	support	36
7	2	technical	18
7	2	security	11
7	2	support	7
8	1	technical	39
8	1	security	28
8	1	support	46
8	2	technical	29
8	2	security	25
8	2	support	27
9	1	technical	16
9	1	security	13
9	1	support	13
9	2	technical	12
9	2	security	18
9	2	support	17
9	3	technical	40
9	3	security	36
9	3	support	37
10	1	technical	35
10	1	security	35
10	1	support	39
10	2	technical	8
10	2	security	10
10	2	support	7
10	3	technical	26
10	3	security	35
10	3	support	29
10	4	technical	34
10	4	security	31
10	4	support	37
10	5	technical	13
10	5	security	11
10	5	support	7
