festival_ID	festival_day	role	required_personnel
1	1	technical	25
1	1	security	27
1	1	support	10
1	2	technical	45
1	2	security	48
1	2	support	18
1	3	technical	5
1	3	security	5
1	3	support	2
1	4	technical	14
1	4	security	15
1	4	support	5
1	5	technical	31
1	5	security	35
1	5	support	13
2	1	technical	46
2	1	security	50
2	1	support	18
2	2	technical	20
2	2	security	18
2	2	support	8
2	3	technical	24
2	3	security	24
2	3	support	10
3	1	technical	5
3	1	security	5
3	1	support	2
3	2	technical	22
3	2	security	26
3	2	support	10
3	3	technical	10
3	3	security	10
3	3	support	4
3	4	technical	14
3	4	security	15
3	4	support	6
3	5	technical	34
3	5	security	35
3	5	support	13
4	1	technical	10
4	1	security	10
4	1	support	4
4	2	technical	29
4	2	security	29
4	2	support	12
4	3	technical	25
4	3	security	25
4	3	support	10
4	4	technical	28
4	4	security	30
4	4	support	12
5	1	technical	25
5	1	security	24
5	1	support	10
5	2	technical	35
5	2	security	37
5	2	support	16
5	3	technical	36
5	3	security	42
5	3	support	16
5	4	technical	15
5	4	security	15
5	4	support	6
5	5	technical	20
5	5	security	22
5	5	support	8
6	1	technical	29
6	1	security	29
6	1	support	12
6	2	technical	39
6	2	security	40
6	2	support	16
6	3	technical	25
6	3	security	25
6	3	support	10
6	4	technical	10
6	4	security	10
6	4	support	4
6	5	technical	19
6	5	security	21
6	5	support	8
7	1	technical	42
7	1	security	43
7	1	support	18
7	2	technical	13
7	2	security	16
7	2	support	6
8	1	technical	20
8	1	security	22
8	1	support	8
8	2	technical	5
8	2	security	6
8	2	support	2
8	3	technical	10
8	3	security	11
8	3	support	4
9	1	technical	28
9	1	security	31
9	1	support	12
9	2	technical	33
9	2	security	33
9	2	support	14
9	3	technical	41
9	3	security	41
9	3	support	18
10	1	technical	10
10	1	security	10
10	1	support	4
10	2	technical	28
10	2	security	32
10	2	support	11
10	3	technical	14
10	3	security	14
10	3	support	6
10	4	technical	5
10	4	security	6
10	4	support	2
